item	response
Go straight for the goal.	5
Plunge into tasks with all my heart.	4
Demand quality.	3
Set high standards for myself and others.	4
Turn plans into actions.	4
Do more than what's expected of me.	5
Work hard.	5
Do just enough work to get by.	3
Am not highly motivated to succeed.	1
Put little time and effort into my work.	1
Am always on the go.	3
Am always busy.	3
React quickly.	3
Can manage many things at the same time.	3
Do a lot in my spare time.	3
React slowly.	3
Like to take my time.	3
Like a leisurely lifestyle.	3
Like to take it easy.	3
Let things proceed at their own pace.	3
Like to visit new places.	3
Interested in many things.	3
Prefer variety to routine.	3
Like to begin new things.	3
Don't like the idea of change.	3
Prefer to stick with things that I know.	3
Dislike changes.	3
Am a creature of habit.	3
Am attached to conventional ways.	3
Dislike new foods.	3
Love flowers.	3
Like music.	3
See beauty in things that others might not notice.	2
Believe in the importance of art.	3
Enjoy the beauty of nature.	3
Do not like poetry.	1
Do not enjoy watching dance performances.	1
Do not enjoy going to art museums.	1
Do not like art.	1
Do not like concerts.	1
Anticipate the needs of others.	3
Love to help others.	3
Have a good word for everyone.	3
Make people feel welcome.	5
Am concerned about others.	5
Am indifferent to the feelings of others.	1
Turn my back on others.	1
Make people feel uncomfortable.	1
Look down on others.	1
Take no time for others.	1
Get irritated easily.	3
Am often in a bad mood.	3
Get angry easily.	3
Lose my temper.	3
Get upset easily.	3
Am not easily annoyed.	3
Rarely get irritated.	1
Seldom get mad.	3
Keep my cool.	3
Rarely complain.	3
Am afraid of many things.	1
Get stressed out easily.	3
Get caught up in my problems.	1
Worry about things.	3
Fear for the worst.	3
Adapt easily to new situations.	3
Am relaxed most of the time.	4
Am not easily disturbed by events.	4
Am not easily bothered by things.	3
Don't worry about things that have already happened.	NA
Take charge.	3
Can talk others into doing things.	3
Try to lead others.	3
Take control of things.	4
Seek to influence others.	3
Hold back my opinions.	1
Keep in the background.	1
Have little to say.	1
Don't like to draw attention to myself.	4
Wait for others to lead the way.	3
Stick to my chosen path.	3
Avoid mistakes.	NA
Choose my words with care.	NA
Make rash decisions.	3
Act without thinking.	1
Jump into things without thinking.	3
Rush into things.	3
Like to act on a whim.	3
Often make last-minute plans.	3
Do crazy things.	3
Amuse my friends.	3
Look at the bright side of life.	3
Love life.	3
Laugh aloud.	3
Express childlike joy.	3
Radiate joy.	3
Laugh my way through life.	5
Have a lot of fun.	3
Seldom joke around.	1
Am not easily amused.	3
Am easy to satisfy.	3
Can't stand confrontations.	3
Hate to seem pushy.	3
Insult people.	1
Yell at people.	1
Hold a grudge.	3
Love a good fight.	2
Contradict others.	1
Have a sharp tongue.	3
Get back at others.	1
Feel that my life lacks direction.	1
Am often down in the dumps.	2
Have frequent mood swings.	3
Dislike myself.	1
Often feel blue.	1
Have a low opinion of myself.	1
Feel desperate.	1
Seldom feel blue.	3
Feel comfortable with myself.	NA
Am very pleased with myself.	4
Keep my promises.	5
Tell the truth.	NA
Pay my bills on time.	4
Listen to my conscience.	3
Try to follow the rules.	NA
Break rules.	1
Misrepresent the facts.	1
Break my promises.	1
Do the opposite of what is asked.	NA
Get others to do my duties.	1
Experience my emotions intensely.	3
Feel others' emotions.	3
Try to understand myself.	5
Am passionate about causes.	4
Enjoy examining myself and my life.	3
Seldom get emotional.	3
Experience very few emotional highs and lows.	3
Am not easily affected by my emotions.	3
Don't understand people who get emotional.	3
Rarely notice my emotional reactions.	3
Love excitement.	3
Enjoy being part of a loud crowd.	3
Seek danger.	1
Act wild and crazy.	1
Willing to try anything once.	3
Seek adventure.	3
Love action.	3
Enjoy being reckless.	3
Dislike loud music.	1
Would never go hang gliding or bungee jumping.	1
Make friends easily.	3
Act comfortably with others.	3
Feel comfortable around people.	3
Cheer people up.	3
Warm up quickly to others.	3
Keep others at a distance.	3
Often feel uncomfortable around others.	1
Avoid contacts with others.	1
Am not really interested in others.	1
Am hard to get to know.	3
Enjoy being part of a group.	3
Involve others in what I am doing.	3
Love surprise parties.	3
Talk to a lot of different people at parties.	3
Love large parties.	3
Prefer to be alone.	1
Seek quiet.	3
Don't like crowded events.	3
Avoid crowds.	3
Want to be left alone.	3
Like to get lost in thought.	3
Enjoy wild flights of fantasy.	3
Love to daydream.	3
Indulge in my fantasies.	3
Have a vivid imagination.	3
Spend time reflecting on things.	3
Seldom daydream.	3
Have difficulty imagining things.	1
Seldom get lost in thought.	1
Do not have a good imagination.	1
Love to eat.	3
Often eat too much.	3
Don't know why I do some of the things I do.	NA
Do things I later regret.	1
Go on binges.	1
Rarely overindulge.	3
Am able to control my cravings.	3
Never splurge.	1
Never spend more than I can afford.	5
Easily resist temptations.	3
Can handle a lot of information.	3
Enjoy thinking about things.	3
Have a rich vocabulary.	3
Like to solve complex problems.	3
Love to read challenging material.	3
Am not interested in theoretical discussions.	3
Have difficulty understanding abstract ideas.	1
Avoid difficult reading material.	1
Am not interested in abstract ideas.	3
Avoid philosophical discussions.	NA
Believe that there is no absolute right or wrong.	NA
Tend to vote for liberal political candidates.	3
Believe that criminals should receive help rather than punishment.	3
Believe laws should be strictly enforced.	3
Believe that we coddle criminals too much.	3
Tend to vote for conservative political candidates.	3
Believe that too much tax money goes to support artists.	3
Believe that we should be tough on crime.	4
Like to stand during the national anthem.	3
Believe in one true religion.	1
Dislike being the center of attention.	3
Dislike talking about myself.	1
Seldom toot my own horn.	3
Consider myself an average person.	NA
Believe that I am better than others.	3
Think highly of myself.	3
Boast about my virtues.	3
Have a high opinion of myself.	NA
Know the answers to many questions.	4
Make myself the center of attention.	3
Would never cheat on my taxes.	1
Stick to the rules.	NA
Take advantage of others.	1
Use flattery to get ahead.	1
Know how to get around the rules.	1
Put people under pressure.	3
Obstruct others' plans.	1
Use others for my own ends.	1
Cheat to get ahead.	1
Pretend to be concerned for others.	3
Like order.	NA
Do things according to a plan.	3
Want everything to be just right.	1
Love order and regularity.	3
Like to tidy up.	3
Often forget to put things back in their proper place.	3
Leave a mess in my room.	3
Am not bothered by messy people.	3
Am not bothered by disorder.	3
Leave my belongings around.	3
Find it difficult to approach others.	1
Am easily intimidated.	1
Only feel comfortable with friends.	3
Stumble over my words.	1
Am afraid to draw attention to myself.	3
Am afraid that I will do the wrong thing.	1
Am not embarrassed easily.	3
Am able to stand up for myself.	3
Am comfortable in unfamiliar situations.	3
Am not bothered by difficult social situations.	3
Get chores done right away.	3
Am always prepared.	3
Get to work at once.	3
Carry out my plans.	3
Start tasks right away.	3
Find it difficult to get down to work.	1
Need a push to get started.	2
Have difficulty starting tasks.	1
Postpone decisions.	3
Waste my time.	1
Excel in what I do.	3
Come up with good solutions.	4
Know how to get things done.	4
Complete tasks successfully.	3
Handle tasks smoothly.	3
Am sure of my ground.	3
Misjudge situations.	1
Don't understand things.	1
Don't see the consequences of things.	3
Have little to contribute.	1
Feel sympathy for those who are worse off than myself.	3
Value cooperation over competition.	3
Sympathize with the homeless.	3
Suffer from others' sorrows.	2
Believe people should fend for themselves.	3
Try not to think about the needy.	1
Tend to dislike soft-hearted people.	3
Believe in an eye for an eye.	5
Can't stand weak people.	5
Am not interested in other people's problems.	3
Believe that people are basically moral.	3
Believe that others have good intentions.	3
Trust others.	2
Believe in human goodness.	5
Think that all will be well.	2
Trust what people say.	3
Believe that people are essentially evil.	1
Distrust people.	1
Suspect hidden motives in others.	1
Am wary of others.	3
Panic easily.	1
Get overwhelmed by emotions.	3
Feel that I'm unable to deal with things.	1
Can't make up my mind.	3
Become overwhelmed by events.	1
Remain calm under pressure.	4
Am calm even in tense situations.	3
Can handle complex problems.	3
Readily overcome setbacks.	3
Know how to cope.	3
